start_dataset,end_dataset,start_llm,end_llm,start_transformer,end_transformer
72,76,30,38,29,61
102,106,44,52,71,78
53,57,46,56,46,58
55,59,76,86,60,74
41,45,24,38,29,39
60,66,48,70,38,59
37,43,46,58,95,102
32,40,34,48,40,50
33,35,14,20,29,36
60,64,54,62,53,65
54,60,50,60,83,95
80,84,92,100,63,74
26,30,46,58,77,91
58,62,36,46,38,45
80,84,76,90,48,66
44,46,22,26,37,47
35,39,52,68,29,43
63,67,36,44,37,56
29,31,80,96,61,87
42,46,10,22,30,57
63,67,52,68,47,62
43,47,54,68,30,72
46,48,24,46,39,49
68,74,24,44,97,104
34,38,34,44,37,47
23,25,16,24,21,26
49,53,34,46,45,56
80,84,42,52,56,78
66,72,76,86,34,42
77,81,92,100,46,67
50,54,96,106,64,71
43,49,34,50,41,52
65,69,54,68,43,64
61,69,66,84,29,72
25,29,34,38,49,62
37,41,34,40,33,42
23,29,32,40,46,58
65,67,56,66,48,55
72,76,34,40,36,62
130,134,50,60,123,130
57,61,34,38,92,99
21,25,72,84,50,66
62,72,86,110,65,74
133,143,88,98,113,119
64,68,38,62,38,45
39,45,36,44,37,46
29,33,22,32,50,59
53,57,50,60,81,93
39,43,38,46,44,63
27,29,22,28,24,30
56,62,56,68,35,56
50,54,46,52,44,55
77,81,32,40,40,63
44,46,20,22,37,47
69,79,70,80,55,64
65,67,58,66,29,58
83,87,74,84,49,70
70,76,58,82,61,68
40,44,30,42,36,45
66,70,50,58,51,58
59,63,62,70,44,60
53,55,46,54,45,56
48,52,34,50,42,53
27,31,74,84,40,61
109,115,22,28,76,83
76,82,54,60,57,81
70,74,66,72,33,60
26,30,22,28,25,31
85,91,52,60,48,67
14,18,94,100,33,54
90,96,48,54,84,91
66,70,72,78,48,68
43,51,54,66,34,85
96,104,50,60,61,80
62,66,44,54,41,61
76,84,50,60,84,103
53,57,22,32,46,58
20,24,66,78,26,37
55,59,14,20,48,60
24,30,10,18,69,78
91,97,66,78,117,128
58,62,44,52,69,90
37,39,30,38,32,40
32,36,14,26,28,59
75,77,32,40,28,62
60,62,38,60,43,53
59,67,76,86,45,66
77,81,76,80,80,86
31,37,34,46,70,78
68,72,50,70,66,76
27,31,34,38,51,66
36,40,76,90,46,63
81,87,30,40,46,88
15,19,54,66,50,68
85,89,72,88,77,90
71,75,54,66,74,86
55,59,74,86,45,64
92,96,26,32,52,60
33,35,24,34,29,36
37,41,24,44,41,52
125,131,30,40,83,89
66,70,54,66,47,65
102,106,42,58,103,113
67,71,50,58,72,85
45,51,96,108,58,65
55,63,16,22,64,71
74,82,26,38,115,126
91,95,32,38,65,72
17,21,94,104,62,69
36,40,26,38,37,61
34,38,56,68,34,85
75,79,76,86,86,93
48,54,34,40,44,55
45,49,30,48,40,50
72,74,52,60,26,59
59,63,66,72,62,69
63,67,76,90,55,65
16,20,52,60,47,66
65,69,54,66,37,86
52,56,52,60,80,108
14,18,28,38,81,89
99,103,12,18,61,74
54,58,44,60,33,71
43,47,38,46,41,52
47,51,46,64,54,67
42,48,42,46,39,49
43,49,24,46,40,50
130,132,54,66,57,71
57,61,34,44,49,62
61,65,44,52,34,58
147,153,52,60,96,106
50,54,32,40,44,55
41,45,32,40,46,58
66,70,32,42,48,66
63,65,14,18,18,55
92,98,50,60,29,40
76,78,80,90,80,87
60,64,30,38,40,50
100,104,64,78,69,80
20,24,30,46,79,86
36,40,46,68,43,58
35,37,28,36,30,38
62,66,16,28,34,43
37,41,48,58,105,112
37,41,30,38,33,42
57,61,34,44,49,62
41,47,58,78,30,42
71,77,44,60,27,38
56,60,32,40,49,61
28,32,24,38,34,58
51,55,46,60,36,86
105,109,26,38,31,44
